California,21,4,37,"39,747,267"
Texas,34,32,33,"29,087,070"
Florida,3,1,27,"21,646,155"
New York,22,15,25,"19,491,339"
Pennsylvania,32,50,10,"12,813,969"
Illinois,19,31,7,"12,700,381"
Ohio,31,38,18,"11,718,568"
Georgia,30,25,31,"10,627,767"
North Carolina,25,12,28,"10,497,741"
Michigan,37,42,29,"10,020,472"
New Jersey,2,30,2,"8,922,547"
Virginia,7,14,8,"8,571,946"
Washington,4,2,19,"7,666,343"
Arizona,40,24,44,"7,275,070"
Massachusetts,1,27,1,"6,939,373"
Tennessee,35,23,38,"6,833,793"
Indiana,24,39,6,"6,718,616"
Missouri,27,26,21,"6,147,861"
Maryland,13,17,11,"6,062,917"
Wisconsin,14,11,16,"5,832,661"
Colorado,11,9,14,"5,770,545"
Minnesota,17,20,12,"5,655,925"
South Carolina,43,46,41,"5,147,111"
Alabama,50,47,49,"4,898,246"
Louisiana,48,49,46,"4,652,581"
Kentucky,38,43,32,"4,484,047"
Oregon,36,22,39,"4,245,901"
Oklahoma,39,28,43,"3,948,950"
Connecticut,12,44,5,"3,567,871"
Utah,10,6,22,"3,221,610"
Iowa,9,8,13,"3,167,997"
Nevada,45,18,48,"3,087,025"
Arkansas,42,40,40,"3,026,412"
Mississippi,46,33,45,"2,987,895"
Kansas,15,13,15,"2,910,931"
New Mexico,49,29,50,"2,096,034"
Nebraska,6,7,9,"1,940,919"
West Virginia,44,45,42,"1,791,951"
Idaho,33,35,26,"1,790,182"
Hawaii,29,21,30,"1,416,589"
New Hampshire,5,37,3,"1,363,852"
Maine,28,34,17,"1,342,097"
Montana,26,19,20,"1,074,532"
Rhode Island,41,48,36,"1,056,738"
Delaware,23,16,24,"975,033"
South Dakota,18,10,23,"892,631"
North Dakota,20,5,35,"760,900"
Alaska,47,36,47,"735,720"
Vermont,8,41,4,"627,180"
Wyoming,16,3,34,"572,381"
